Instance type,Number of instances,HC-Average,FFA-Average,HC-Better,FFA-Better,HC-BKS,FFA-BKS
dmu,80,4812.1,5104.5,61,16,15,3
ta,80,2397.7,2474.6,52,27,28,1
la,40,1115.4,1109.9,2,18,20,28
swv,20,2296.0,2319.1,5,10,5,5
orb,10,939.9,903.3,0,10,0,7
abz,5,855.0,844.6,0,5,0,2
yn,4,945.2,932.9,0,4,0,0
ft,3,728.5,716.7,0,3,0,3
All,242,2838.7,2959.7,120,93,68,49
