Instance type,Number of instances,HC-Average,FFA-Average,HC-Better,FFA-Better,HC-BKS,FFA-BKS
dmu,80,4812.1,5104.5,61.4,15.4,17.8,3.2
ta,80,2397.7,2474.6,54.4,24.2,28.8,2.8
la,40,1115.4,1109.9,1.6,14.0,24.2,30.2
swv,20,2296.0,2319.1,6.2,8.6,5.4,5.0
orb,10,939.9,903.3,0.0,8.8,1.0,7.4
abz,5,855.0,844.6,0.4,4.0,0.2,2.0
yn,4,945.2,932.9,1.0,2.8,0.0,0.0
ft,3,728.5,716.7,0.0,1.4,1.6,3.0
All,242,2838.7,2959.7,125.0,79.2,79.0,53.6
