instance,jobs,machines,ppa,ffaSelect,ffaComplete,best known solution
ta68,50,20,3277,3066,3239,2784
ta69,50,20,3527,3349,3526,3071
ta70,50,20,3476,3339,3439,2995
ta71,100,20,6099,6015,6402,5464
ta72,100,20,5760,5743,6069,5181
ta73,100,20,6236,6155,6489,5568
ta74,100,20,5740,5686,6005,5339
ta75,100,20,6040,6086,6278,5392
ta76,100,20,5957,5922,6361,5342
ta77,100,20,5868,6005,6182,5436
ta78,100,20,6061,5851,6095,5394
ta79,100,20,5824,5752,6183,5358
ta80,100,20,5852,5736,6199,5183
yn1,20,20,1026,916,949,884
yn2,20,20,1022,956,973,904
yn3,20,20,1050,947,950,892
yn4,20,20,1178,1014,1059,968
