Instance type,Number of instances,HC-Average,FFA-Average,HC-Better,FFA-Better,HC-BKS,FFA-BKS
dmu,80,4812.3,5032.3,57,20,15,3
ta,80,2398.5,2439.9,47,28,28,3
la,40,1114.6,1109.9,3,17,20,27
swv,20,2304.7,2307.8,5,10,5,5
orb,10,938.4,903.2,0,10,0,7
abz,5,853.6,843.6,0,5,0,2
yn,4,937.5,932.0,0,4,0,0
ft,3,729.3,716.7,0,2,1,3
All,242,2839.4,2923.4,112,96,69,50
